2026-04-12 14:09:07 - whisperx.vads.pyannote - INFO - Performing voice activity detection using Pyannote...
Lightning automatically upgraded your loaded checkpoint from v1.5.4 to v2.6.1. To apply the upgrade to your files permanently, run `python -m lightning.pytorch.utilities.upgrade_checkpoint ../../.pyenv/versions/transcriptoz/lib/python3.12/site-packages/whisperx/assets/pytorch_model.bin`
2026-04-12 14:09:25 - whisperx.transcribe - INFO - Performing transcription...
Transcript: [19.387 --> 38.658]  bravo, bravo. Ciao tutti, noi sate. Ciao. Ciao, Joy.
Transcript: [51.567 --> 72.897]  ci avete il microfono e principalmente una edzione conversazione alle per cui sarebbe utile se conversati.
Transcript: [94.497 --> 121.902]  Ciao dai degas! Ciao! Adora voce quasi di riconosco mi ricordi il nome! Francesco, Francesco! Ok, ciao Francesco, bella vista! Bella vista! Ciao! Ciao Mike! Ciao! Ciao! Ciao tutti!
Transcript: [124.383 --> 152.446]  Ciao ragazzi! Ciao ciao ciao ciao ciao fammi di l'Oecia! Adidivo! Ma i danquillo, spettiamo ancora un poche! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì! Sì
Transcript: [154.235 --> 181.302]  È comunque questa live casca proprio a Pennello dopo ieri dai. Sì, direi proprio di sì. Io sinceramente, da quando è iniziato lo suddanda prima a tobre, ho detto non mi ricordo come hanno le condizioni, l'ultimo suddanda,
Transcript: [182.028 --> 211.103]  anche che non avevo ancora l'esperienza che ho adesso e quindi anzieti a tentare di cavarcarlo, vedere anche cosa si sta grappando nel mercato per muoversi insomma. Ho preferito ripiegare su una diversa tipologia di strategia molto più semplice e giusto da tra dare ma senza andare a cercare niente di grosso, anche perché cosa è grosso e non ci insono state a parte ieri e ieri o deciso di stare
Transcript: [211.323 --> 240.618]  di non stare al PC e mi ha detto tanto, se non vener di calmo, grazie sul gran casso, la dòdolo. C'è veramente? Perché ho anche, sto gran casso. Io vi eri era fuori prumitinga di lavoro, quando sono di entrato, che erbole le le le sei, mi sembra 5 le sei, ho visto tutto il marasma, ho fatto ok?
Transcript: [240.803 --> 268.647]  da se una merda, si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si si
Transcript: [269.17 --> 295.597]  eh... chi chi chi chi non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non ho semeliorato, non
Transcript: [298.229 --> 327.507]  ma magari sono gli avanti a c'erro queste quindi per generò lasciare. No, a portere le impostazioni magari è messo quello che ti spattano il miglopo no? No, no, tutto giusto. Ma statta ad creent. Vabbè? Ciao. Ma è ancora d'antunario. Ok. Ok. Ok.
Transcript: [328.216 --> 356.532]  Non mi incontrariale perché di orcavacca. No, non diciamo i Francesco. No, diciamo che comunque è stato comunque con tutti i segnali che serano almeno io era alerta, era bastante affletto su tutto, dicendo
